algorithm,param_col,param_value,dataset,seed,soft_penalty,runtime,feasible,hard,status,wall
tabu,tabu_iters,20000,synthetic_scaling_1000,43,5313,24.034457,True,0,ok,31.79
tabu,tabu_tenure,5,synthetic_scaling_1000,43,6683,15.0101,True,0,ok,22.94
tabu,tabu_iters,20000,synthetic_scaling_1000,44,5790,23.391672,True,0,ok,31.24
tabu,tabu_tenure,5,synthetic_scaling_1000,44,5906,17.091591,True,0,ok,25.35
tabu,tabu_tenure,16,synthetic_scaling_1000,42,8439,16.187503,True,0,ok,24.03
tabu,tabu_tenure,16,synthetic_scaling_1000,43,6683,16.130802,True,0,ok,24.07
tabu,tabu_tenure,16,synthetic_scaling_1000,44,5906,15.896584,True,0,ok,23.97
tabu,tabu_tenure,28,synthetic_scaling_1000,43,6683,15.836056,True,0,ok,23.48
tabu,tabu_tenure,28,synthetic_scaling_1000,42,8439,15.830447,True,0,ok,24.49
tabu,tabu_tenure,28,synthetic_scaling_1000,44,5906,16.442418,True,0,ok,24.16
tabu,tabu_tenure,39,synthetic_scaling_1000,42,8439,15.054576,True,0,ok,22.8
tabu,tabu_tenure,39,synthetic_scaling_1000,43,6683,15.833603,True,0,ok,24.02
tabu,tabu_tenure,39,synthetic_scaling_1000,44,6792,16.088769,True,0,ok,23.73
tabu,tabu_tenure,50,synthetic_scaling_1000,42,8343,15.611828,True,0,ok,23.21
tabu,tabu_patience,50,synthetic_scaling_1000,43,7042,6.656105,True,0,ok,14.33
tabu,tabu_patience,50,synthetic_scaling_1000,42,8821,7.849426,True,0,ok,15.91
tabu,tabu_tenure,50,synthetic_scaling_1000,43,6672,15.224481,True,0,ok,22.9
tabu,tabu_tenure,50,synthetic_scaling_1000,44,6792,16.545865,True,0,ok,24.52
tabu,tabu_patience,50,synthetic_scaling_1000,44,7347,12.56943,True,0,ok,20.51
tabu,tabu_patience,126,synthetic_scaling_1000,42,8584,11.39991,True,0,ok,19.67
tabu,tabu_patience,126,synthetic_scaling_1000,44,7442,11.2074,True,0,ok,18.83
tabu,tabu_patience,126,synthetic_scaling_1000,43,6755,12.059343,True,0,ok,19.67
tabu,tabu_patience,316,synthetic_scaling_1000,42,8439,15.290852,True,0,ok,22.51
tabu,tabu_patience,316,synthetic_scaling_1000,43,6683,14.104279,True,0,ok,22.25
tabu,tabu_patience,316,synthetic_scaling_1000,44,5906,16.480024,True,0,ok,24.4
tabu,tabu_patience,795,synthetic_scaling_1000,42,8439,15.789335,True,0,ok,23.78
tabu,tabu_patience,795,synthetic_scaling_1000,43,6683,13.888103,True,0,ok,21.93
vns,vns_iters,1000,synthetic_scaling_1000,42,6109,3.347865,True,0,ok,11.39
tabu,tabu_patience,2000,synthetic_scaling_1000,42,8439,15.458809,True,0,ok,23.12
tabu,tabu_patience,795,synthetic_scaling_1000,44,5906,16.334013,True,0,ok,24.25
vns,vns_iters,1000,synthetic_scaling_1000,43,9502,3.321032,True,0,ok,10.7
tabu,tabu_patience,2000,synthetic_scaling_1000,43,6683,15.228382,True,0,ok,23.18
